num,violation_id,violation_description,category,fine_min,fine_max,currency,additional_measures,legal_basis,document_source,severity,article_number,section,fine_amount_min,fine_amount_max,additional_penalty,vehicle_type,severity_level,keywords,article_title,violation_type,description,penalty_range,source_document,amendment_type
46,dieu_10_Khoản_1_1,Xe không có đèn chiếu sáng,Vi phạm giao thông khác,600000,800000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 10,nghi_dinh_100_2019,Nhẹ,DIEU 10,Khoản 1,600000.0,800000.0,,,Nhẹ,"['không', 'đèn', 'chiếu', 'sáng']",Vi phạm quy định về tình trạng kỹ thuật của xe,,Xe không có đèn chiếu sáng,600.000 - 800.000 VNĐ,nghi_dinh_100_2019,
47,dieu_10_Khoản_1_2,Xe không có còi,Vi phạm giao thông khác,600000,800000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 10,nghi_dinh_100_2019,Nhẹ,DIEU 10,Khoản 1,600000.0,800000.0,,,Nhẹ,"['không', 'còi']",Vi phạm quy định về tình trạng kỹ thuật của xe,,Xe không có còi,600.000 - 800.000 VNĐ,nghi_dinh_100_2019,
48,dieu_10_Khoản_2_1,Xe có tình trạng lốp không đảm bảo an toàn,Vi phạm giao thông khác,800000,1000000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 10,nghi_dinh_100_2019,Nhẹ,DIEU 10,Khoản 2,800000.0,1000000.0,,,Nhẹ,"['tình', 'trạng', 'lốp', 'không', 'đảm', 'bảo', 'toàn']",Vi phạm quy định về tình trạng kỹ thuật của xe,,Xe có tình trạng lốp không đảm bảo an toàn,800.000 - 1.000.000 VNĐ,nghi_dinh_100_2019,
49,dieu_11_Khoản_1_1,Đỗ xe trên vỉa hè,Vi phạm giao thông khác,300000,400000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 11,nghi_dinh_100_2019,Nhẹ,DIEU 11,Khoản 1,300000.0,400000.0,,,Nhẹ,['vỉa'],"Vi phạm quy tắc đỗ xe, dừng xe",,Đỗ xe trên vỉa hè,300.000 - 400.000 VNĐ,nghi_dinh_100_2019,
50,dieu_11_Khoản_1_2,Đỗ xe trong khu vực cấm đỗ,Vi phạm giao thông khác,300000,400000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 11,nghi_dinh_100_2019,Nhẹ,DIEU 11,Khoản 1,300000.0,400000.0,,,Nhẹ,"['khu', 'vực', 'cấm']","Vi phạm quy tắc đỗ xe, dừng xe",,Đỗ xe trong khu vực cấm đỗ,300.000 - 400.000 VNĐ,nghi_dinh_100_2019,
51,dieu_11_Khoản_1_3,Đỗ xe che khuất tầm nhìn,Vi phạm giao thông khác,300000,400000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 11,nghi_dinh_100_2019,Nhẹ,DIEU 11,Khoản 1,300000.0,400000.0,,,Nhẹ,"['che', 'khuất', 'tầm', 'nhìn']","Vi phạm quy tắc đỗ xe, dừng xe",,Đỗ xe che khuất tầm nhìn,300.000 - 400.000 VNĐ,nghi_dinh_100_2019,
52,dieu_11_Khoản_2_1,Dừng xe không đúng nơi quy định,Vi phạm giao thông khác,600000,800000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 11,nghi_dinh_100_2019,Nhẹ,DIEU 11,Khoản 2,600000.0,800000.0,,,Nhẹ,"['dừng', 'không', 'đúng', 'nơi', 'quy', 'định']","Vi phạm quy tắc đỗ xe, dừng xe",,Dừng xe không đúng nơi quy định,600.000 - 800.000 VNĐ,nghi_dinh_100_2019,
53,dieu_11_Khoản_2_2,Để xe quá thời gian cho phép,Vi phạm giao thông khác,600000,800000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 11,nghi_dinh_100_2019,Nhẹ,DIEU 11,Khoản 2,600000.0,800000.0,,,Nhẹ,"['quá', 'thời', 'gian', 'phép']","Vi phạm quy tắc đỗ xe, dừng xe",,Để xe quá thời gian cho phép,600.000 - 800.000 VNĐ,nghi_dinh_100_2019,
54,dieu_12_Khoản_1_1,Đua xe trái phép trên đường bộ,Đua xe trái phép,15000000,20000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 12 đến 15 tháng; Tước phương tiện 7 ngày,Nghị định 100/2019/NĐ-CP - DIEU 12,nghi_dinh_100_2019,Nghiêm trọng,DIEU 12,Khoản 1,15000000.0,20000000.0,Tước quyền sử dụng giấy phép lái xe từ 12 đến 15 tháng; Tước phương tiện 7 ngày,,Nghiêm trọng,"['đua', 'trái', 'phép', 'đường']",Vi phạm quy định về đua xe trái phép,,Đua xe trái phép trên đường bộ,15.000.000 - 20.000.000 VNĐ,nghi_dinh_100_2019,
55,dieu_1_Khoản_1_1,hành chính trong lĩnh vực giao thông đường bộ và đường sắt,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 1,nghi_dinh_100_2019,,DIEU 1,Khoản 1,,,,Đường sắt,,"['hành', 'chính', 'lĩnh', 'vực', 'giao', 'thông', 'đường', 'đường', 'sắt']",Phạm vi điều chỉnh,,hành chính trong lĩnh vực giao thông đường bộ và đường sắt,,nghi_dinh_100_2019,
56,dieu_2_Khoản_1_1,vi phạm pháp luật về giao thông đường bộ,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 2,nghi_dinh_100_2019,,DIEU 2,Khoản 1,,,,,,"['phạm', 'pháp', 'luật', 'giao', 'thông', 'đường']",Đối tượng áp dụng,,vi phạm pháp luật về giao thông đường bộ,,nghi_dinh_100_2019,
57,dieu_2_Khoản_2_1,vi phạm pháp luật về giao thông đường sắt,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 2,nghi_dinh_100_2019,,DIEU 2,Khoản 2,,,,Đường sắt,,"['phạm', 'pháp', 'luật', 'giao', 'thông', 'đường', 'sắt']",Đối tượng áp dụng,,vi phạm pháp luật về giao thông đường sắt,,nghi_dinh_100_2019,
58,dieu_3_Khoản_1_1,"hành chính phải được xử lý kịp thời, công minh, đúng pháp luật",Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 3,nghi_dinh_100_2019,,DIEU 3,Khoản 1,,,,,,"['hành', 'chính', 'phải', 'kịp', 'thời', 'công', 'minh', 'đúng', 'pháp', 'luật']",Nguyên tắc xử phạt vi phạm hành chính,,"hành chính phải được xử lý kịp thời, công minh, đúng pháp luật",,nghi_dinh_100_2019,
59,dieu_3_Khoản_2_1,vi phạm chỉ bị xử phạt một lần,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 3,nghi_dinh_100_2019,,DIEU 3,Khoản 2,,,,,,"['phạm', 'chỉ', 'phạt', 'lần']",Nguyên tắc xử phạt vi phạm hành chính,,vi phạm chỉ bị xử phạt một lần,,nghi_dinh_100_2019,
60,dieu_13_Khoản_1_1,Không có giấy phép lái xe máy chuyên dùng,Vi phạm giấy phép lái xe,6000000,8000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 13,nghi_dinh_100_2019,Trung bình,DIEU 13,Khoản 1,6000000.0,8000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Xe máy,Trung bình,"['không', 'giấy', 'phép', 'lái', 'máy', 'chuyên', 'dùng']",Vi phạm của người điều khiển xe máy chuyên dùng,,Không có giấy phép lái xe máy chuyên dùng,6.000.000 - 8.000.000 VNĐ,nghi_dinh_100_2019,
61,dieu_13_Khoản_1_2,Điều khiển xe máy chuyên dùng không đúng mục đích sử dụng,Vi phạm của người điều khiển xe mô tô,6000000,8000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 13,nghi_dinh_100_2019,Trung bình,DIEU 13,Khoản 1,6000000.0,8000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Xe máy,Trung bình,"['điều', 'khiển', 'máy', 'chuyên', 'dùng', 'không', 'đúng', 'mục', 'đích', 'dụng']",Vi phạm của người điều khiển xe máy chuyên dùng,,Điều khiển xe máy chuyên dùng không đúng mục đích sử dụng,6.000.000 - 8.000.000 VNĐ,nghi_dinh_100_2019,
62,dieu_13_Khoản_2_1,Xe máy chuyên dùng tham gia giao thông trên đường bộ không đúng quy định,Vi phạm của người điều khiển xe mô tô,4000000,6000000,VNĐ,Tạm giữ phương tiện,Nghị định 100/2019/NĐ-CP - DIEU 13,nghi_dinh_100_2019,Trung bình,DIEU 13,Khoản 2,4000000.0,6000000.0,Tạm giữ phương tiện,Xe máy,Trung bình,"['máy', 'chuyên', 'dùng', 'tham', 'gia', 'giao', 'thông', 'đường', 'không', 'đúng']",Vi phạm của người điều khiển xe máy chuyên dùng,,Xe máy chuyên dùng tham gia giao thông trên đường bộ không đúng quy định,4.000.000 - 6.000.000 VNĐ,nghi_dinh_100_2019,
63,dieu_14_Khoản_1_1,Không chấp hành hiệu lệnh của đèn tín hiệu giao thông,Vi phạm tín hiệu giao thông,300000,400000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 14,nghi_dinh_100_2019,Nhẹ,DIEU 14,Khoản 1,300000.0,400000.0,,Xe đạp,Nhẹ,"['không', 'chấp', 'hành', 'hiệu', 'lệnh', 'đèn', 'tín', 'hiệu', 'giao', 'thông']","Vi phạm của người điều khiển xe đạp, xe đạp máy",,Không chấp hành hiệu lệnh của đèn tín hiệu giao thông,300.000 - 400.000 VNĐ,nghi_dinh_100_2019,
64,dieu_14_Khoản_1_2,Không chấp hành hiệu lệnh của người điều khiển giao thông,Vi phạm tín hiệu giao thông,300000,400000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 14,nghi_dinh_100_2019,Nhẹ,DIEU 14,Khoản 1,300000.0,400000.0,,Xe đạp,Nhẹ,"['không', 'chấp', 'hành', 'hiệu', 'lệnh', 'người', 'điều', 'khiển', 'giao', 'thông']","Vi phạm của người điều khiển xe đạp, xe đạp máy",,Không chấp hành hiệu lệnh của người điều khiển giao thông,300.000 - 400.000 VNĐ,nghi_dinh_100_2019,
65,dieu_14_Khoản_2_1,Đi vào đường cấm,Vi phạm giao thông khác,600000,800000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 14,nghi_dinh_100_2019,Nhẹ,DIEU 14,Khoản 2,600000.0,800000.0,,Xe đạp,Nhẹ,"['vào', 'đường', 'cấm']","Vi phạm của người điều khiển xe đạp, xe đạp máy",,Đi vào đường cấm,600.000 - 800.000 VNĐ,nghi_dinh_100_2019,
66,dieu_14_Khoản_2_2,Đi ngược chiều đường một chiều,Vi phạm giao thông khác,600000,800000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 14,nghi_dinh_100_2019,Nhẹ,DIEU 14,Khoản 2,600000.0,800000.0,,Xe đạp,Nhẹ,"['ngược', 'chiều', 'đường', 'chiều']","Vi phạm của người điều khiển xe đạp, xe đạp máy",,Đi ngược chiều đường một chiều,600.000 - 800.000 VNĐ,nghi_dinh_100_2019,
67,dieu_15_Khoản_1_1,"Không đi đúng phần đường, nơi quy định",Vi phạm giao thông khác,100000,200000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 15,nghi_dinh_100_2019,Nhẹ,DIEU 15,Khoản 1,100000.0,200000.0,,,Nhẹ,"['không', 'đúng', 'phần', 'đường', 'nơi', 'quy', 'định']",Vi phạm của người đi bộ,,"Không đi đúng phần đường, nơi quy định",100.000 - 200.000 VNĐ,nghi_dinh_100_2019,
68,dieu_15_Khoản_1_2,Băng qua đường không đúng nơi quy định,Vi phạm giao thông khác,100000,200000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 15,nghi_dinh_100_2019,Nhẹ,DIEU 15,Khoản 1,100000.0,200000.0,,,Nhẹ,"['băng', 'qua', 'đường', 'không', 'đúng', 'nơi', 'quy', 'định']",Vi phạm của người đi bộ,,Băng qua đường không đúng nơi quy định,100.000 - 200.000 VNĐ,nghi_dinh_100_2019,
69,dieu_15_Khoản_2_1,Không chấp hành hiệu lệnh của đèn tín hiệu giao thông,Vi phạm tín hiệu giao thông,200000,300000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 15,nghi_dinh_100_2019,Nhẹ,DIEU 15,Khoản 2,200000.0,300000.0,,,Nhẹ,"['không', 'chấp', 'hành', 'hiệu', 'lệnh', 'đèn', 'tín', 'hiệu', 'giao', 'thông']",Vi phạm của người đi bộ,,Không chấp hành hiệu lệnh của đèn tín hiệu giao thông,200.000 - 300.000 VNĐ,nghi_dinh_100_2019,
70,dieu_15_Khoản_2_2,Không chấp hành hiệu lệnh của người điều khiển giao thông,Vi phạm tín hiệu giao thông,200000,300000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 15,nghi_dinh_100_2019,Nhẹ,DIEU 15,Khoản 2,200000.0,300000.0,,,Nhẹ,"['không', 'chấp', 'hành', 'hiệu', 'lệnh', 'người', 'điều', 'khiển', 'giao', 'thông']",Vi phạm của người đi bộ,,Không chấp hành hiệu lệnh của người điều khiển giao thông,200.000 - 300.000 VNĐ,nghi_dinh_100_2019,
71,dieu_16_Khoản_1_1,"Vận chuyển hàng hóa có khối lượng vượt quá tải trọng cho phép của cầu, đường",Vi phạm tải trọng,30000000,40000000,VNĐ,Buộc khôi phục lại tình trạng ban đầu; Tước phương tiện 7 ngày,Nghị định 100/2019/NĐ-CP - DIEU 16,nghi_dinh_100_2019,Nghiêm trọng,DIEU 16,Khoản 1,30000000.0,40000000.0,Buộc khôi phục lại tình trạng ban đầu; Tước phương tiện 7 ngày,,Nghiêm trọng,"['vận', 'chuyển', 'hàng', 'hóa', 'khối', 'lượng', 'vượt', 'quá', 'tải', 'trọng']","Vi phạm về tải trọng, khổ giới hạn của đường bộ",,"Vận chuyển hàng hóa có khối lượng vượt quá tải trọng cho phép của cầu, đường",30.000.000 - 40.000.000 VNĐ,nghi_dinh_100_2019,
72,dieu_16_Khoản_2_1,Vận chuyển hàng hóa có kích thước vượt quá khổ giới hạn của đường bộ,Vi phạm giao thông khác,20000000,30000000,VNĐ,Buộc dỡ bỏ hàng hóa vượt giới hạn,Nghị định 100/2019/NĐ-CP - DIEU 16,nghi_dinh_100_2019,Nghiêm trọng,DIEU 16,Khoản 2,20000000.0,30000000.0,Buộc dỡ bỏ hàng hóa vượt giới hạn,,Nghiêm trọng,"['vận', 'chuyển', 'hàng', 'hóa', 'kích', 'thước', 'vượt', 'quá', 'khổ', 'giới']","Vi phạm về tải trọng, khổ giới hạn của đường bộ",,Vận chuyển hàng hóa có kích thước vượt quá khổ giới hạn của đường bộ,20.000.000 - 30.000.000 VNĐ,nghi_dinh_100_2019,
73,dieu_17_Khoản_1_1,Kinh doanh vận tải không có giấy phép kinh doanh vận tải,Vi phạm giấy phép lái xe,20000000,30000000,VNĐ,Tịch thu phương tiện; Buộc nộp lại số lợi bất hợp pháp,Nghị định 100/2019/NĐ-CP - DIEU 17,nghi_dinh_100_2019,Nghiêm trọng,DIEU 17,Khoản 1,20000000.0,30000000.0,Tịch thu phương tiện; Buộc nộp lại số lợi bất hợp pháp,,Nghiêm trọng,"['kinh', 'doanh', 'vận', 'tải', 'không', 'giấy', 'phép', 'kinh', 'doanh', 'vận']","Vi phạm về hoạt động vận tải hành khách, hàng hóa",,Kinh doanh vận tải không có giấy phép kinh doanh vận tải,20.000.000 - 30.000.000 VNĐ,nghi_dinh_100_2019,
74,dieu_17_Khoản_2_1,"Vận chuyển hành khách không theo tuyến, lịch trình đã được cấp phép",Vi phạm giao thông khác,8000000,12000000,VNĐ,Tước quyền sử dụng giấy phép kinh doanh từ 3 đến 6 tháng,Nghị định 100/2019/NĐ-CP - DIEU 17,nghi_dinh_100_2019,Nghiêm trọng,DIEU 17,Khoản 2,8000000.0,12000000.0,Tước quyền sử dụng giấy phép kinh doanh từ 3 đến 6 tháng,,Nghiêm trọng,"['vận', 'chuyển', 'hành', 'khách', 'không', 'tuyến', 'lịch', 'trình', 'cấp', 'phép']","Vi phạm về hoạt động vận tải hành khách, hàng hóa",,"Vận chuyển hành khách không theo tuyến, lịch trình đã được cấp phép",8.000.000 - 12.000.000 VNĐ,nghi_dinh_100_2019,
75,dieu_18_Khoản_1_1,Cản trở việc điều khiển giao thông,Vi phạm giao thông khác,5000000,10000000,VNĐ,Buộc khôi phục lại tình trạng ban đầu,Nghị định 100/2019/NĐ-CP - DIEU 18,nghi_dinh_100_2019,Trung bình,DIEU 18,Khoản 1,5000000.0,10000000.0,Buộc khôi phục lại tình trạng ban đầu,,Trung bình,"['cản', 'trở', 'việc', 'điều', 'khiển', 'giao', 'thông']",Vi phạm khác trong lĩnh vực giao thông đường bộ,,Cản trở việc điều khiển giao thông,5.000.000 - 10.000.000 VNĐ,nghi_dinh_100_2019,
76,dieu_18_Khoản_1_2,Làm hư hỏng công trình giao thông đường bộ,Vi phạm giao thông khác,5000000,10000000,VNĐ,Buộc khôi phục lại tình trạng ban đầu,Nghị định 100/2019/NĐ-CP - DIEU 18,nghi_dinh_100_2019,Trung bình,DIEU 18,Khoản 1,5000000.0,10000000.0,Buộc khôi phục lại tình trạng ban đầu,,Trung bình,"['làm', 'hỏng', 'công', 'trình', 'giao', 'thông', 'đường']",Vi phạm khác trong lĩnh vực giao thông đường bộ,,Làm hư hỏng công trình giao thông đường bộ,5.000.000 - 10.000.000 VNĐ,nghi_dinh_100_2019,
77,dieu_18_Khoản_2_1,Đặt chướng ngại vật trái phép trên đường bộ,Vi phạm giao thông khác,3000000,5000000,VNĐ,Buộc tháo dỡ chướng ngại vật,Nghị định 100/2019/NĐ-CP - DIEU 18,nghi_dinh_100_2019,Trung bình,DIEU 18,Khoản 2,3000000.0,5000000.0,Buộc tháo dỡ chướng ngại vật,,Trung bình,"['đặt', 'chướng', 'ngại', 'vật', 'trái', 'phép', 'đường']",Vi phạm khác trong lĩnh vực giao thông đường bộ,,Đặt chướng ngại vật trái phép trên đường bộ,3.000.000 - 5.000.000 VNĐ,nghi_dinh_100_2019,
78,dieu_19_Khoản_1_1,Vượt qua đường ngang đường sắt khi có tín hiệu cấm,Vi phạm tín hiệu giao thông,1000000,2000000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 19,nghi_dinh_100_2019,Nhẹ,DIEU 19,Khoản 1,1000000.0,2000000.0,,Đường sắt,Nhẹ,"['vượt', 'qua', 'đường', 'ngang', 'đường', 'sắt', 'tín', 'hiệu', 'cấm']",Vi phạm quy định về an toàn giao thông đường sắt,,Vượt qua đường ngang đường sắt khi có tín hiệu cấm,1.000.000 - 2.000.000 VNĐ,nghi_dinh_100_2019,
79,dieu_19_Khoản_1_2,Đi bộ trên đường ray,Vi phạm giao thông khác,1000000,2000000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 19,nghi_dinh_100_2019,Nhẹ,DIEU 19,Khoản 1,1000000.0,2000000.0,,Đường sắt,Nhẹ,"['đường', 'ray']",Vi phạm quy định về an toàn giao thông đường sắt,,Đi bộ trên đường ray,1.000.000 - 2.000.000 VNĐ,nghi_dinh_100_2019,
80,dieu_19_Khoản_2_1,Làm hư hỏng công trình đường sắt,Vi phạm giao thông khác,10000000,20000000,VNĐ,Buộc khôi phục lại tình trạng ban đầu,Nghị định 100/2019/NĐ-CP - DIEU 19,nghi_dinh_100_2019,Nghiêm trọng,DIEU 19,Khoản 2,10000000.0,20000000.0,Buộc khôi phục lại tình trạng ban đầu,Đường sắt,Nghiêm trọng,"['làm', 'hỏng', 'công', 'trình', 'đường', 'sắt']",Vi phạm quy định về an toàn giao thông đường sắt,,Làm hư hỏng công trình đường sắt,10.000.000 - 20.000.000 VNĐ,nghi_dinh_100_2019,
81,dieu_19_Khoản_2_2,Cản trở hoạt động giao thông đường sắt,Vi phạm giao thông khác,10000000,20000000,VNĐ,Buộc khôi phục lại tình trạng ban đầu,Nghị định 100/2019/NĐ-CP - DIEU 19,nghi_dinh_100_2019,Nghiêm trọng,DIEU 19,Khoản 2,10000000.0,20000000.0,Buộc khôi phục lại tình trạng ban đầu,Đường sắt,Nghiêm trọng,"['cản', 'trở', 'hoạt', 'động', 'giao', 'thông', 'đường', 'sắt']",Vi phạm quy định về an toàn giao thông đường sắt,,Cản trở hoạt động giao thông đường sắt,10.000.000 - 20.000.000 VNĐ,nghi_dinh_100_2019,
82,dieu_20_Khoản_1_1,Kinh doanh vận tải đường sắt không có giấy phép,Vi phạm giấy phép lái xe,50000000,60000000,VNĐ,Tịch thu phương tiện; Buộc nộp lại số lợi bất hợp pháp,Nghị định 100/2019/NĐ-CP - DIEU 20,nghi_dinh_100_2019,Nghiêm trọng,DIEU 20,Khoản 1,50000000.0,60000000.0,Tịch thu phương tiện; Buộc nộp lại số lợi bất hợp pháp,Đường sắt,Nghiêm trọng,"['kinh', 'doanh', 'vận', 'tải', 'đường', 'sắt', 'không', 'giấy', 'phép']",Vi phạm của doanh nghiệp kinh doanh đường sắt,,Kinh doanh vận tải đường sắt không có giấy phép,50.000.000 - 60.000.000 VNĐ,nghi_dinh_100_2019,
83,dieu_21_Khoản_1_1,Xây dựng công trình trong phạm vi bảo vệ kết cấu hạ tầng đường sắt không có giấy phép,Vi phạm giấy phép lái xe,20000000,30000000,VNĐ,Buộc tháo dỡ công trình vi phạm,Nghị định 100/2019/NĐ-CP - DIEU 21,nghi_dinh_100_2019,Nghiêm trọng,DIEU 21,Khoản 1,20000000.0,30000000.0,Buộc tháo dỡ công trình vi phạm,Đường sắt,Nghiêm trọng,"['xây', 'dựng', 'công', 'trình', 'phạm', 'bảo', 'kết', 'cấu', 'tầng', 'đường']",Vi phạm khác trong lĩnh vực giao thông đường sắt,,Xây dựng công trình trong phạm vi bảo vệ kết cấu hạ tầng đường sắt không có giấy phép,20.000.000 - 30.000.000 VNĐ,nghi_dinh_100_2019,
84,dieu_22_Khoản_1_1,"Cảnh sát giao thông có quyền phạt tiền đến 5,000,000 VNĐ",Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 22,nghi_dinh_100_2019,,DIEU 22,Khoản 1,,,,,,"['cảnh', 'sát', 'giao', 'thông', 'quyền', 'phạt', 'tiền', '000', '000', 'vnđ']",Thẩm quyền xử phạt của Cảnh sát giao thông,,"Cảnh sát giao thông có quyền phạt tiền đến 5,000,000 VNĐ",,nghi_dinh_100_2019,
85,dieu_22_Khoản_2_1,"Đại úy trở lên có quyền phạt tiền đến 20,000,000 VNĐ",Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 22,nghi_dinh_100_2019,,DIEU 22,Khoản 2,,,,,,"['đại', 'trở', 'lên', 'quyền', 'phạt', 'tiền', '000', '000', 'vnđ']",Thẩm quyền xử phạt của Cảnh sát giao thông,,"Đại úy trở lên có quyền phạt tiền đến 20,000,000 VNĐ",,nghi_dinh_100_2019,
86,dieu_23_Khoản_1_1,"Thanh tra viên có quyền phạt tiền đến 3,000,000 VNĐ",Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 23,nghi_dinh_100_2019,,DIEU 23,Khoản 1,,,,,,"['thanh', 'tra', 'viên', 'quyền', 'phạt', 'tiền', '000', '000', 'vnđ']",Thẩm quyền xử phạt của Thanh tra giao thông,,"Thanh tra viên có quyền phạt tiền đến 3,000,000 VNĐ",,nghi_dinh_100_2019,
87,dieu_23_Khoản_2_1,"Trưởng đoàn thanh tra có quyền phạt tiền đến 10,000,000 VNĐ",Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 23,nghi_dinh_100_2019,,DIEU 23,Khoản 2,,,,,,"['trưởng', 'đoàn', 'thanh', 'tra', 'quyền', 'phạt', 'tiền', '000', '000', 'vnđ']",Thẩm quyền xử phạt của Thanh tra giao thông,,"Trưởng đoàn thanh tra có quyền phạt tiền đến 10,000,000 VNĐ",,nghi_dinh_100_2019,
88,dieu_24_Khoản_1_1,Tước quyền sử dụng giấy phép lái xe,Vi phạm giấy phép lái xe,,,,,Nghị định 100/2019/NĐ-CP - DIEU 24,nghi_dinh_100_2019,,DIEU 24,Khoản 1,,,,,,"['tước', 'quyền', 'dụng', 'giấy', 'phép', 'lái']",Thẩm quyền áp dụng biện pháp khắc phục hậu quả,,Tước quyền sử dụng giấy phép lái xe,,nghi_dinh_100_2019,
89,dieu_24_Khoản_2_1,Tịch thu phương tiện,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 24,nghi_dinh_100_2019,,DIEU 24,Khoản 2,,,,,,"['tịch', 'thu', 'phương', 'tiện']",Thẩm quyền áp dụng biện pháp khắc phục hậu quả,,Tịch thu phương tiện,,nghi_dinh_100_2019,
90,dieu_25_Khoản_1_1,hành chính ngay tại chỗ,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 25,nghi_dinh_100_2019,,DIEU 25,Khoản 1,,,,,,"['hành', 'chính', 'ngay', 'chỗ']",Thủ tục xử phạt vi phạm hành chính,,hành chính ngay tại chỗ,,nghi_dinh_100_2019,
91,dieu_25_Khoản_2_1,Ra quyết định xử phạt trong thời hạn quy định,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 25,nghi_dinh_100_2019,,DIEU 25,Khoản 2,,,,,,"['quyết', 'định', 'phạt', 'thời', 'hạn', 'quy', 'định']",Thủ tục xử phạt vi phạm hành chính,,Ra quyết định xử phạt trong thời hạn quy định,,nghi_dinh_100_2019,
92,dieu_26_Khoản_1_1,Người bị xử phạt phải chấp hành quyết định xử phạt trong thời hạn quy định,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 26,nghi_dinh_100_2019,,DIEU 26,Khoản 1,,,,,,"['người', 'phạt', 'phải', 'chấp', 'hành', 'quyết', 'định', 'phạt', 'thời', 'hạn']",Thi hành quyết định xử phạt,,Người bị xử phạt phải chấp hành quyết định xử phạt trong thời hạn quy định,,nghi_dinh_100_2019,
93,dieu_26_Khoản_2_1,Biện pháp cưỡng chế thi hành quyết định xử phạt,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 26,nghi_dinh_100_2019,,DIEU 26,Khoản 2,,,,,,"['biện', 'pháp', 'cưỡng', 'chế', 'thi', 'hành', 'quyết', 'định', 'phạt']",Thi hành quyết định xử phạt,,Biện pháp cưỡng chế thi hành quyết định xử phạt,,nghi_dinh_100_2019,
94,dieu_27_Khoản_1_1,Quyền khiếu nại đối với quyết định xử phạt,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 27,nghi_dinh_100_2019,,DIEU 27,Khoản 1,,,,,,"['quyền', 'khiếu', 'nại', 'đối', 'quyết', 'định', 'phạt']","Khiếu nại, tố cáo về xử phạt vi phạm hành chính",,Quyền khiếu nại đối với quyết định xử phạt,,nghi_dinh_100_2019,
95,dieu_27_Khoản_2_1,Thẩm quyền giải quyết khiếu nại,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 27,nghi_dinh_100_2019,,DIEU 27,Khoản 2,,,,,,"['thẩm', 'quyền', 'giải', 'quyết', 'khiếu', 'nại']","Khiếu nại, tố cáo về xử phạt vi phạm hành chính",,Thẩm quyền giải quyết khiếu nại,,nghi_dinh_100_2019,
96,dieu_28_Khoản_1_1,Nghị định này có hiệu lực từ ngày 01 tháng 01 năm 2020,Vi phạm giao thông khác,,,,,Nghị định 100/2019/NĐ-CP - DIEU 28,nghi_dinh_100_2019,,DIEU 28,Khoản 1,,,,,,"['nghị', 'định', 'hiệu', 'lực', 'ngày', 'tháng', 'năm', '2020']",Hiệu lực thi hành,,Nghị định này có hiệu lực từ ngày 01 tháng 01 năm 2020,,nghi_dinh_100_2019,
